district_id,cpr,cpr_num,inside_elections,inside_elections_num,crystal_ball,crystal_ball_num,avg
UT04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
VA01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
VA02,Tossup,4,Tossup,4,Tossup,4,4
VA03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
VA04,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
VA05,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
VA06,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
VA07,Tossup,4,Tilt Democratic,3,Lean Democratic,3,3.333333333
VA08,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
VA09,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
VA10,Likely Democratic,2,Likely Democratic,2,Likely Democratic,2,2
VA11,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
VT00,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
WA01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
WA02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
WA03,Lean Republican,5,Lean Republican,5,Likely Republican,6,5.333333333
WA04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
WA05,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
WA06,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
WA07,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
WA08,Tossup,4,Tossup,4,Lean Democratic,3,3.666666667
WA09,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
WA10,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
WI01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
WI02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
WI03,Likely Republican,6,Lean Republican,5,Likely Republican,6,5.666666667
WI04,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
WI05,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
WI06,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
WI07,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
WI08,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
WV01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
WV02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
WY00,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
